Designator,Footprint,Quantity,Value,LCSC Part #
"C1001, C1002, C1004, C1005, C1101, C1102, C1103, C1104, C1105, C401, C402, C405, C504, C512, C601, C605, C611, C701, C703, C706, C801, C803, C806, C901, C903, C906",0603,26,100n,
"C1003, C203, C205, C403, C406",0603,5,4.7u,
"C201, C202",0603,2,10u,
C204,0603,1,2.2u,
C206,1812,1,1n,C524544
"C207, C208",0603,2,1u,
"C502, C507",0603,2,1nF,
C503,0603,1,1uF,
"C505, C509",0603,2,33n,
"C506, C510",0603,2,470p,
C508,0603,1,10n,
C511,0603,1,2.2uF,
"C603, C607, C702, C704, C802, C804, C902, C904",1206,8,100u,
"C608, C613, C705, C707, C805, C807, C905, C907",0603,8,47p,
"D1001, D1002, D1003, D1004, D201, D202, D203, D401",0603,8,LED,
"D301, D302, D303, D304",D_DO-35_SOD27_P7.62mm_Horizontal,4,1N457,
"D501, D502",D_DO-35_SOD27_P7.62mm_Horizontal,2,BAT85,
"D601, D701, D801, D901",Osram_DIL2_4.3x4.65mm_P5.08mm,4,BPW34,
"H101, H102, H103, H104",MountingHole_3.8mm,4,MountingHole,
J1001,PinHeader_1x03_P1.27mm_Vertical,1,Conn_01x03,
J101,PinHeader_2x25_P2.00mm_Horizontal,1,LPC-50M2LG,
"J102, J103, J104",Laird_Technologies_BMI-S-101_13.66x12.70mm,3,RFShield_OnePiece,
"J201, J202, J203, J403",PinHeader_1x02_P1.27mm_Vertical,4,Conn_01x02,
J501,SMA_Amphenol_901-143_Horizontal_Modified,1,60611002111501,
J502,PinHeader_1x12_P1.27mm_Vertical,1,Conn_01x12,
"JP1001, JP401",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,2,Jumper_3_Open,
"JP203, JP601, JP701, JP801, JP901",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,5,Jumper_2_Bridged,
JP301,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
JP501,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Open,
JP502,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,Jumper_3_Bridged12,
L201,0603,1,6.8uH,
"Q201, Q202",SOT-23,2,AO3420,
"Q203, Q204, Q501, Q502",SOT-23,4,2N7002,C3290044
"Q601, Q701, Q801, Q901",SOT-23,4,MMBF4392LT1G,
"R1001, R1002, R1003, R1006, R203, R403",0603,6,1k,
"R1004, R1005, R401, R402",0603,4,3.3k,
"R201, R202",1206,2,"0.025, PE1206FRE470R025L",
"R204, R501",0603,2,2.2k,
"R205, R408, R409, R509, R612, R618, R707, R710, R807, R810, R907, R910",0603,12,10k,
"R206, R207, R605, R703, R803, R903",0603,6,1M,
"R302, R312, R314, R316",0603,4,11k,
"R303, R313, R315, R317",0603,4,110k,
"R304, R306, R308, R310, R601, R602, R701, R702, R801, R802, R901, R902",0603,12,10M,
"R305, R307, R309, R311",0603,4,3.6M,
"R502, R503",0603,2,220,
"R504, R505, R515",0603,3,100K,
"R506, R512",0603,2,30k,
"R507, R513",0603,2,16k,
"R508, R514",0603,2,510,
R510,0603,1,6K8,
"R511, R516",0603,2,470,
"R607, R704, R804, R904",0603,4,4k7,
"R609, R705, R805, R905",0603,4,2k,
"R611, R617, R706, R709, R806, R809, R906, R909",0603,8,330k,
"R615, R708, R808, R908",0603,4,100R,
"SW1001, SW401",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,2,SW_Push,
"TP302, TP303, TP304",TestPoint_Pad_D1.5mm,3,TestPoint,
U1001,UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,1,STM32L432KCU6,C1337280
U1002,SOP-8_3.9x4.9mm_P1.27mm,1,24LC32A/SN,C615215
"U1101, U1102, U1103, U1104, U1105",MSOP-8_3x3mm_P0.65mm,5,STDS75DS2F,C283289
"U201, U202",TSOT-23-8_HandSoldering,2,LTC4361-2,
U203,Converter_DCDC_Gaptec_0.1S7B_3UP_THT,1,0.1S7B_0512S3UP,
"U301, U302, U303, U304",SOT-23-6_Handsoldering,4,VT03,
U305,TSSOP-14_4.4x5mm_P0.65mm,1,TL974IPWR,
U306,TSSOP-20_4.4x6.5mm_P0.65mm,1,ADG734,
"U308, U309, U310, U311",SOIC-8_3.9x4.9mm_P1.27mm,4,LM334M,C140388
U401,LQFP-32_7x7mm_P0.8mm,1,STM32G031K8T6,C432203
U403,U-PDFN-8_6x8mm_P1.27mm,1,MT29F2G01ABAGDWB-IT-G_TR,C410863
U502,TSSOP-14_4.4x5mm_P0.65mm,1,MCP6004T-I/ST,C50282
U503,DORJI_DRA818V,1,DRA818V,
"U601, U701, U801, U901",SOIC-8_3.9x4.9mm_P1.27mm,4,LM358DR,LM358DR
