Designator,Mid X,Mid Y,Rotation,Layer
C201,86.425,-115.287,270.0,top
C202,94.679,-115.2155,90.0,top
C203,87.2755,-109.982,180.0,top
C204,100.584,-107.5955,90.0,top
C205,59.9,-108.4375,270.0,top
C206,64.262,-101.092,0.0,top
C208,60.0,-95.4532,270.0,top
C301,82.3976,-75.0327,90.0,top
C302,80.7906,-75.0327,90.0,top
C303,89.8632,-77.9392,0.0,top
C304,78.6872,-86.0672,0.0,top
C305,89.1012,-86.5752,0.0,top
C401,102.1049,-76.0607,90.0,top
C402,97.753,-91.7696,180.0,top
C403,97.9404,-79.7932,180.0,top
C404,94.996,-90.9331,90.0,top
C405,96.5824,-73.2252,0.0,top
C406,101.754,-84.2264,180.0,top
C407,127.9144,-101.3979,90.0,top
C501,60.3105,-123.444,0.0,top
C502,61.5951,-60.4972,0.0,top
C503,115.924,-61.3215,270.0,top
C504,108.8136,-110.1344,0.0,top
C505,96.994,-99.2643,90.0,top
C601,76.6053,-65.7052,0.0,top
C602,76.6053,-62.4032,0.0,top
C603,84.3291,-51.816,0.0,top
C604,76.6053,-64.008,0.0,top
C605,84.3291,-53.4924,0.0,top
C701,78.74,-98.7055,90.0,top
C702,75.184,-98.7055,90.0,top
C703,86.614,-99.7215,90.0,top
C704,76.962,-98.7055,90.0,top
C705,88.392,-99.7215,90.0,top
D201,75.799,-112.83,0.0,top
D202,75.799,-115.555,0.0,top
D203,75.799,-118.11,0.0,top
D301,89.1285,-51.308,0.0,top
D302,89.1285,-53.3362,0.0,top
D303,101.3715,-61.468,180.0,top
D304,101.3715,-66.548,180.0,top
D801,72.898,-77.978,180.0,top
D802,64.845,-74.16,180.0,top
D901,88.7449,-95.9424,180.0,top
D902,69.8142,-95.1894,180.0,top
D_RX301,102.9444,-51.308,180.0,top
D_TX301,102.999,-56.388,180.0,top
IC601,70.3688,-59.7154,90.0,top
IC701,76.073,-104.688,180.0,top
J101,111.825,-111.854,180.0,top
J102,112.622,-57.573,180.0,top
J103,58.165,-64.55,90.0,top
J104,65.25,-121.7,270.0,bottom
J401,123.19,-108.204,180.0,top
L201,62.865,-105.125,90.0,top
Q201,83.693,-110.871,0.0,top
Q202,95.758,-111.633,0.0,top
Q203,91.3625,-111.1995,0.0,top
Q204,100.0995,-111.2075,0.0,top
Q401,101.6754,-79.7832,0.0,top
Q601,89.7026,-58.2445,90.0,top
Q701,101.9708,-102.6945,90.0,top
R201,118.237,-122.555,0.0,top
R202,118.237,-124.079,0.0,top
R203,90.392,-118.1495,0.0,top
R204,98.629,-118.1575,0.0,top
R205,80.02,-114.0245,180.0,top
R206,80.02,-116.6495,180.0,top
R207,80.02,-119.1045,180.0,top
R301,92.964,-59.944,90.0,top
R302,99.06,-51.308,0.0,top
R305,99.06,-56.388,0.0,top
R306,92.964,-56.388,90.0,top
R309,97.4325,-61.468,0.0,top
R310,97.4325,-66.548,0.0,top
R401,97.6075,-90.0776,0.0,top
R402,97.8904,-81.3172,0.0,top
R403,100.3269,-76.0107,270.0,top
R404,97.6395,-93.2456,180.0,top
R405,96.9629,-75.2572,0.0,top
R407,97.6395,-94.7696,0.0,top
R408,97.1036,-87.8332,180.0,top
R410,99.3109,-72.2007,270.0,top
R411,101.9864,-72.9492,0.0,top
R412,101.9544,-71.3352,180.0,top
R501,60.706,-114.1495,270.0,top
R502,58.674,-114.1495,270.0,top
R601,84.7325,-58.7756,0.0,top
R602,84.7325,-55.5244,180.0,top
R603,84.7325,-57.15,180.0,top
R701,97.79,-107.5455,90.0,top
R702,102.87,-98.9095,90.0,top
R703,100.838,-98.9095,90.0,top
R801,62.1379,-78.5288,0.0,top
R802,62.1379,-76.5288,0.0,top
R803,53.7,-75.6,0.0,top
R804,53.6125,-73.6,0.0,top
R805,109.6283,-54.4368,0.0,top
R806,55.6523,-65.0184,180.0,top
R807,109.5267,-56.642,180.0,top
R808,55.8047,-67.1012,0.0,top
R809,85.2235,-69.1664,0.0,top
R810,85.1935,-71.3232,180.0,top
R811,89.0543,-71.2204,0.0,top
R812,89.0543,-69.2404,180.0,top
R901,90.8804,-89.724,0.0,top
R902,90.8804,-91.5228,0.0,top
R903,72.2037,-90.2618,180.0,top
R904,72.2037,-92.243,0.0,top
R905,114.3019,-113.2632,0.0,top
R906,52.7831,-112.5728,180.0,top
R907,114.3019,-115.4176,180.0,top
R908,52.8339,-114.3,0.0,top
R909,63.5032,-113.6516,0.0,top
R910,63.5435,-115.3816,180.0,top
R911,63.5435,-117.1596,180.0,top
R912,63.5435,-118.9376,0.0,top
U201,90.162,-115.1445,0.0,top
U202,98.469,-115.0425,0.0,top
U203,53.102,-108.2385,90.0,top
U301,84.2772,-81.9912,0.0,top
U401,115.7366,-84.186,270.0,top
U501,61.7262,-65.3021,90.0,top
U502,59.903,-119.38,270.0,top
U503,108.7628,-114.554,90.0,top
U504,111.9065,-61.351,0.0,top
U505,92.8835,-99.2938,0.0,top
U601,78.6892,-55.8292,0.0,top
U701,92.202,-105.41,90.0,top
U801,63.5794,-82.2998,0.0,top
U802,55.6375,-79.505,0.0,top
U803,72.812,-74.5744,0.0,top
U804,114.6264,-54.4728,0.0,top
U805,55.879,-61.31,0.0,top
U806,79.725,-70.115,180.0,top
U901,84.4804,-91.694,0.0,top
U902,66.105,-90.6526,0.0,top
U903,71.7804,-85.2932,0.0,top
U904,113.8136,-108.966,0.0,top
U905,53.9712,-117.16,0.0,top
U906,69.525,-115.615,0.0,top
